STR	CUI=CUI	PREF=STR
midback pain unchanged with straining during bowel movement	CUI=C2130081	PREF=midback pain unchanged with straining during bowel movement
midback pain unchanged with straining during bowel movements	CUI=C2130081	PREF=midback pain unchanged with straining during bowel movements
midback pain worse with straining during bowel movements	CUI=C2129247	PREF=midback pain worse with straining during bowel movements
midline low back pain worse with movement	CUI=C2129456	PREF=midline low back pain worse with movement
midline lower back pain improves with movement	CUI=C2129458	PREF=midline lower back pain improves with movement
midline lower back pain unchanged with movement	CUI=C2129457	PREF=midline lower back pain unchanged with movement
midline lower back pain worse with movement	CUI=C2129456	PREF=midline lower back pain worse with movement
midline midback pain improves with movement	CUI=C2129452	PREF=midline midback pain improves with movement
midline midback pain unchanged with movement	CUI=C2129451	PREF=midline midback pain unchanged with movement
midline midback pain worse with movement	CUI=C2129450	PREF=midline midback pain worse with movement
midline upper back pain improves with movement	CUI=C2129446	PREF=midline upper back pain improves with movement
midline upper back pain is unchanged with movement	CUI=C2129445	PREF=midline upper back pain is unchanged with movement
midline upper back pain worse with movement	CUI=C2129444	PREF=midline upper back pain worse with movement
Moderate slowness, poverty or small amplitude of movement	CUI=C4036279	PREF=Moderate slowness, poverty or small amplitude of movement
Moderately impaired. Definite and early fatiguing. May have occasional arrests in movement	CUI=C4036306	PREF=Moderately impaired. Definite and early fatiguing. May have occasional arrests in movement
Muscle movement against resistance incomplete (finding)	CUI=C0575060	PREF=Muscle movement against resistance incomplete (finding)
Muscle weakness, distal (lower limbs more affected than upper limbs), due to motor neuronopathy	CUI=C1834694	PREF=Muscle weakness, distal (lower limbs more affected than upper limbs), due to motor neuronopathy
Muscle weakness, symmetric, proximal (lower limbs more affected than upper limbs) due to motor neuronopathy	CUI=C1854665	PREF=Muscle weakness, symmetric, proximal (lower limbs more affected than upper limbs) due to motor neuronopathy
Neck joint - range of movement	CUI=C1319209	PREF=Neck joint - range of movement
Neck joint - range of movement (observable entity)	CUI=C1319209	PREF=Neck joint - range of movement (observable entity)
neck pain increased by head movement	CUI=C2219657	PREF=neck pain increased by head movement
neck pain increased by head movement bending to left	CUI=C2129421	PREF=neck pain increased by head movement bending to left
neck pain increased by head movement turning to right	CUI=C2129422	PREF=neck pain increased by head movement turning to right
neck stiffness loosens after ordinary movements	CUI=C2128493	PREF=neck stiffness loosens after ordinary movements
No ankle movement	CUI=C0582214	PREF=No ankle movement
No ankle movement (finding)	CUI=C0582214	PREF=No ankle movement (finding)
No cervical spine movement (finding)	CUI=C0582230	PREF=No cervical spine movement (finding)
No elbow movement (finding)	CUI=C0582185	PREF=No elbow movement (finding)
No finger movement (finding)	CUI=C0582196	PREF=No finger movement (finding)
No foot movement	CUI=C0582218	PREF=No foot movement
No foot movement	CUI=C0582218	PREF=No foot movement
No foot movement (finding)	CUI=C0582218	PREF=No foot movement (finding)
No hip movement	CUI=C0582204	PREF=No hip movement
No hip movement (finding)	CUI=C0582204	PREF=No hip movement (finding)
No involuntary movements (context-dependent category)	CUI=C0558695	PREF=No involuntary movements (context-dependent category)
No involuntary movements (finding)	CUI=C0558695	PREF=No involuntary movements (finding)
No involuntary movements (situation)	CUI=C0558695	PREF=No involuntary movements (situation)
No knee movement	CUI=C0582209	PREF=No knee movement
No knee movement (finding)	CUI=C0582209	PREF=No knee movement (finding)
No lumbar spine movement	CUI=C0582238	PREF=No lumbar spine movement
No lumbar spine movement (finding)	CUI=C0582238	PREF=No lumbar spine movement (finding)
No motor skills acquired (in some)	CUI=C3553480	PREF=No motor skills acquired (in some)
No movement	CUI=C4036164	PREF=No movement
No purposeful eye movements (patient B)	CUI=C4228112	PREF=No purposeful eye movements (patient B)
No purposeful leg movement	CUI=C4296871	PREF=No purposeful leg movement
No shoulder movement	CUI=C0582181	PREF=No shoulder movement
No shoulder movement (finding)	CUI=C0582181	PREF=No shoulder movement (finding)
No spontaneous movements	CUI=C2748966	PREF=No spontaneous movements
No subtalar movement	CUI=C0582222	PREF=No subtalar movement
No subtalar movement (finding)	CUI=C0582222	PREF=No subtalar movement (finding)
No thoracic spine movement	CUI=C0582234	PREF=No thoracic spine movement
No thoracic spine movement (finding)	CUI=C0582234	PREF=No thoracic spine movement (finding)
No thumb movement	CUI=C0582200	PREF=No thumb movement
No thumb movement (finding)	CUI=C0582200	PREF=No thumb movement (finding)
No toe movement	CUI=C0582226	PREF=No toe movement
No toe movement (finding)	CUI=C0582226	PREF=No toe movement (finding)
No wrist movement	CUI=C0582189	PREF=No wrist movement
No wrist movement (finding)	CUI=C0582189	PREF=No wrist movement (finding)
Normal fine motor activity	CUI=C1850572	PREF=Normal fine motor activity
Normal or spontaneous movement (< 2 years of age)	CUI=C4509452	PREF=Normal or spontaneous movement (< 2 years of age)
Normal range of ankle movement	CUI=C0582210	PREF=Normal range of ankle movement
Normal range of ankle movement (finding)	CUI=C0582210	PREF=Normal range of ankle movement (finding)
Normal range of cervical spine movement (finding)	CUI=C0582227	PREF=Normal range of cervical spine movement (finding)
Normal range of elbow movement (finding)	CUI=C0582182	PREF=Normal range of elbow movement (finding)
Normal range of finger movement (finding)	CUI=C0582192	PREF=Normal range of finger movement (finding)
Normal range of foot movement	CUI=C0582215	PREF=Normal range of foot movement
Normal range of foot movement (finding)	CUI=C0582215	PREF=Normal range of foot movement (finding)
Normal range of hip movement	CUI=C0582201	PREF=Normal range of hip movement
Normal range of hip movement (finding)	CUI=C0582201	PREF=Normal range of hip movement (finding)
Normal range of knee movement	CUI=C0582206	PREF=Normal range of knee movement
Normal range of knee movement (finding)	CUI=C0582206	PREF=Normal range of knee movement (finding)
Normal range of lumbar spine movement	CUI=C0582235	PREF=Normal range of lumbar spine movement
Normal range of lumbar spine movement (finding)	CUI=C0582235	PREF=Normal range of lumbar spine movement (finding)
Normal range of shoulder movement	CUI=C0582178	PREF=Normal range of shoulder movement
Normal range of shoulder movement (finding)	CUI=C0582178	PREF=Normal range of shoulder movement (finding)
Normal range of subtalar movement	CUI=C0582219	PREF=Normal range of subtalar movement
Normal range of subtalar movement (finding)	CUI=C0582219	PREF=Normal range of subtalar movement (finding)
Normal range of thoracic spine movement	CUI=C0582231	PREF=Normal range of thoracic spine movement
Normal range of thoracic spine movement (finding)	CUI=C0582231	PREF=Normal range of thoracic spine movement (finding)
Normal range of thumb movement	CUI=C0582197	PREF=Normal range of thumb movement
Normal range of thumb movement (finding)	CUI=C0582197	PREF=Normal range of thumb movement (finding)
Normal range of toe movement	CUI=C0582223	PREF=Normal range of toe movement
Normal range of toe movement (finding)	CUI=C0582223	PREF=Normal range of toe movement (finding)
Normal range of wrist movement	CUI=C0582186	PREF=Normal range of wrist movement
Normal range of wrist movement (finding)	CUI=C0582186	PREF=Normal range of wrist movement (finding)
Normal range shoulder movement	CUI=C0582178	PREF=Normal range shoulder movement
Normal range subtalar movement	CUI=C0582219	PREF=Normal range subtalar movement
Normal symmetrical movements	CUI=C4036172	PREF=Normal symmetrical movements
Normal vocal cord movement (finding)	CUI=C0577905	PREF=Normal vocal cord movement (finding)
Oral motor functions	CUI=C0563145	PREF=Oral motor functions
pain of ankle elicited by motion at initiation of movement	CUI=C2088498	PREF=pain of ankle elicited by motion at initiation of movement
pain of ankle elicited by motion at initiation of movement (physical finding)	CUI=C2088498	PREF=pain of ankle elicited by motion at initiation of movement (physical finding)
pain of both ankles elicited by active motion at initiation of movement	CUI=C2177869	PREF=pain of both ankles elicited by active motion at initiation of movement
pain of both ankles elicited by active motion at initiation of movement (physical finding)	CUI=C2177869	PREF=pain of both ankles elicited by active motion at initiation of movement (physical finding)
pain of both ankles elicited by motion at initiation of movement	CUI=C2196502	PREF=pain of both ankles elicited by motion at initiation of movement
pain of both ankles elicited by motion at initiation of movement (physical finding)	CUI=C2196502	PREF=pain of both ankles elicited by motion at initiation of movement (physical finding)
pain of both feet elicited at initiation of movement	CUI=C2196543	PREF=pain of both feet elicited at initiation of movement
pain of both feet elicited at initiation of movement (physical finding)	CUI=C2196543	PREF=pain of both feet elicited at initiation of movement (physical finding)
pain of cervical spine elicited by bilateral extension at initiation of movement	CUI=C2044074	PREF=pain of cervical spine elicited by bilateral extension at initiation of movement
pain of cervical spine elicited by bilateral extension at initiation of movement (physical finding)	CUI=C2044074	PREF=pain of cervical spine elicited by bilateral extension at initiation of movement (physical finding)
pain of cervical spine elicited by bilateral flexion at initiation of movement	CUI=C2044077	PREF=pain of cervical spine elicited by bilateral flexion at initiation of movement
pain of cervical spine elicited by bilateral flexion at initiation of movement (physical finding)	CUI=C2044077	PREF=pain of cervical spine elicited by bilateral flexion at initiation of movement (physical finding)
pain of cervical spine elicited by bilateral lateral bending at initiation of movement	CUI=C2044080	PREF=pain of cervical spine elicited by bilateral lateral bending at initiation of movement
pain of cervical spine elicited by bilateral lateral bending at initiation of movement (physical finding)	CUI=C2044080	PREF=pain of cervical spine elicited by bilateral lateral bending at initiation of movement (physical finding)
pain of cervical spine elicited by bilateral rotation at initiation of movement	CUI=C2044083	PREF=pain of cervical spine elicited by bilateral rotation at initiation of movement
pain of cervical spine elicited by bilateral rotation at initiation of movement (physical finding)	CUI=C2044083	PREF=pain of cervical spine elicited by bilateral rotation at initiation of movement (physical finding)
pain of cervical spine elicited by left-sided extension at initiation of movement	CUI=C2044086	PREF=pain of cervical spine elicited by left-sided extension at initiation of movement
pain of cervical spine elicited by left-sided extension at initiation of movement (physical finding)	CUI=C2044086	PREF=pain of cervical spine elicited by left-sided extension at initiation of movement (physical finding)
pain of cervical spine elicited by left-sided flexion at initiation of movement	CUI=C2044089	PREF=pain of cervical spine elicited by left-sided flexion at initiation of movement
pain of cervical spine elicited by left-sided flexion at initiation of movement (physical finding)	CUI=C2044089	PREF=pain of cervical spine elicited by left-sided flexion at initiation of movement (physical finding)
pain of cervical spine elicited by left-sided lateral bending at initiation of movement	CUI=C2044092	PREF=pain of cervical spine elicited by left-sided lateral bending at initiation of movement
pain of cervical spine elicited by left-sided lateral bending at initiation of movement (physical finding)	CUI=C2044092	PREF=pain of cervical spine elicited by left-sided lateral bending at initiation of movement (physical finding)
pain of cervical spine elicited by left-sided rotation at initiation of movement	CUI=C2044095	PREF=pain of cervical spine elicited by left-sided rotation at initiation of movement
pain of cervical spine elicited by left-sided rotation at initiation of movement (physical finding)	CUI=C2044095	PREF=pain of cervical spine elicited by left-sided rotation at initiation of movement (physical finding)
pain of cervical spine elicited by right-sided extension at initiation of movement	CUI=C2044098	PREF=pain of cervical spine elicited by right-sided extension at initiation of movement
pain of cervical spine elicited by right-sided extension at initiation of movement (physical finding)	CUI=C2044098	PREF=pain of cervical spine elicited by right-sided extension at initiation of movement (physical finding)
pain of cervical spine elicited by right-sided flexion at initiation of movement	CUI=C2044101	PREF=pain of cervical spine elicited by right-sided flexion at initiation of movement
pain of cervical spine elicited by right-sided flexion at initiation of movement (physical finding)	CUI=C2044101	PREF=pain of cervical spine elicited by right-sided flexion at initiation of movement (physical finding)
pain of cervical spine elicited by right-sided lateral bending at initiation of movement	CUI=C2044104	PREF=pain of cervical spine elicited by right-sided lateral bending at initiation of movement
pain of cervical spine elicited by right-sided lateral bending at initiation of movement (physical finding)	CUI=C2044104	PREF=pain of cervical spine elicited by right-sided lateral bending at initiation of movement (physical finding)
pain of cervical spine elicited by right-sided rotation at initiation of movement	CUI=C2044107	PREF=pain of cervical spine elicited by right-sided rotation at initiation of movement
pain of cervical spine elicited by right-sided rotation at initiation of movement (physical finding)	CUI=C2044107	PREF=pain of cervical spine elicited by right-sided rotation at initiation of movement (physical finding)
pain of elbow elicited at initiation of movement	CUI=C2088479	PREF=pain of elbow elicited at initiation of movement
pain of elbow elicited at initiation of movement (physical finding)	CUI=C2088479	PREF=pain of elbow elicited at initiation of movement (physical finding)
pain of finger of left hand elicited at initiation of movement	CUI=C2016681	PREF=pain of finger of left hand elicited at initiation of movement
pain of finger of left hand elicited at initiation of movement (physical finding)	CUI=C2016681	PREF=pain of finger of left hand elicited at initiation of movement (physical finding)
pain of finger of left hand elicited by abduction at initiation of movement	CUI=C2031664	PREF=pain of finger of left hand elicited by abduction at initiation of movement
pain of finger of left hand elicited by abduction at initiation of movement (physical finding)	CUI=C2031664	PREF=pain of finger of left hand elicited by abduction at initiation of movement (physical finding)
pain of finger of left hand elicited by adduction at initiation of movement	CUI=C2031665	PREF=pain of finger of left hand elicited by adduction at initiation of movement
pain of finger of left hand elicited by adduction at initiation of movement (physical finding)	CUI=C2031665	PREF=pain of finger of left hand elicited by adduction at initiation of movement (physical finding)
pain of finger of left hand elicited by extension at initiation of movement	CUI=C2031666	PREF=pain of finger of left hand elicited by extension at initiation of movement
pain of finger of left hand elicited by extension at initiation of movement (physical finding)	CUI=C2031666	PREF=pain of finger of left hand elicited by extension at initiation of movement (physical finding)
pain of finger of left hand elicited by flexion at initiation of movement	CUI=C2031667	PREF=pain of finger of left hand elicited by flexion at initiation of movement
pain of finger of left hand elicited by flexion at initiation of movement (physical finding)	CUI=C2031667	PREF=pain of finger of left hand elicited by flexion at initiation of movement (physical finding)
pain of finger of right hand elicited by abduction at initiation of movement	CUI=C2031676	PREF=pain of finger of right hand elicited by abduction at initiation of movement
pain of finger of right hand elicited by abduction at initiation of movement (physical finding)	CUI=C2031676	PREF=pain of finger of right hand elicited by abduction at initiation of movement (physical finding)
pain of finger of right hand elicited by adduction at initiation of movement	CUI=C2031677	PREF=pain of finger of right hand elicited by adduction at initiation of movement
pain of finger of right hand elicited by adduction at initiation of movement (physical finding)	CUI=C2031677	PREF=pain of finger of right hand elicited by adduction at initiation of movement (physical finding)
pain of finger of right hand elicited by at initiation of movement	CUI=C2016695	PREF=pain of finger of right hand elicited by at initiation of movement
pain of finger of right hand elicited by at initiation of movement (physical finding)	CUI=C2016695	PREF=pain of finger of right hand elicited by at initiation of movement (physical finding)
pain of finger of right hand elicited by extension at initiation of movement	CUI=C2031678	PREF=pain of finger of right hand elicited by extension at initiation of movement
pain of finger of right hand elicited by extension at initiation of movement (physical finding)	CUI=C2031678	PREF=pain of finger of right hand elicited by extension at initiation of movement (physical finding)
pain of finger of right hand elicited by flexion at initiation of movement	CUI=C2031679	PREF=pain of finger of right hand elicited by flexion at initiation of movement
pain of finger of right hand elicited by flexion at initiation of movement (physical finding)	CUI=C2031679	PREF=pain of finger of right hand elicited by flexion at initiation of movement (physical finding)
pain of fingers of both hands elicited at initiation of movement	CUI=C2016660	PREF=pain of fingers of both hands elicited at initiation of movement
pain of fingers of both hands elicited at initiation of movement (physical finding)	CUI=C2016660	PREF=pain of fingers of both hands elicited at initiation of movement (physical finding)
pain of fingers of both hands elicited by abduction at initiation of movement	CUI=C2031643	PREF=pain of fingers of both hands elicited by abduction at initiation of movement
pain of fingers of both hands elicited by abduction at initiation of movement (physical finding)	CUI=C2031643	PREF=pain of fingers of both hands elicited by abduction at initiation of movement (physical finding)
pain of fingers of both hands elicited by adduction at initiation of movement	CUI=C2031644	PREF=pain of fingers of both hands elicited by adduction at initiation of movement
pain of fingers of both hands elicited by adduction at initiation of movement (physical finding)	CUI=C2031644	PREF=pain of fingers of both hands elicited by adduction at initiation of movement (physical finding)
pain of fingers of both hands elicited by extension at initiation of movement	CUI=C2031645	PREF=pain of fingers of both hands elicited by extension at initiation of movement
pain of fingers of both hands elicited by extension at initiation of movement (physical finding)	CUI=C2031645	PREF=pain of fingers of both hands elicited by extension at initiation of movement (physical finding)
pain of fingers of both hands elicited by flexion at initiation of movement	CUI=C2031646	PREF=pain of fingers of both hands elicited by flexion at initiation of movement
pain of fingers of both hands elicited by flexion at initiation of movement (physical finding)	CUI=C2031646	PREF=pain of fingers of both hands elicited by flexion at initiation of movement (physical finding)
pain of foot elicited at initiation of movement	CUI=C2088501	PREF=pain of foot elicited at initiation of movement
pain of foot elicited at initiation of movement (physical finding)	CUI=C2088501	PREF=pain of foot elicited at initiation of movement (physical finding)
pain of hand elicited at initiation of movement	CUI=C2028532	PREF=pain of hand elicited at initiation of movement
pain of hand elicited at initiation of movement (physical finding)	CUI=C2028532	PREF=pain of hand elicited at initiation of movement (physical finding)
pain of hip elicited active extension at initiation of movement	CUI=C2031107	PREF=pain of hip elicited active extension at initiation of movement
pain of hip elicited active extension at initiation of movement (physical finding)	CUI=C2031107	PREF=pain of hip elicited active extension at initiation of movement (physical finding)
pain of hip elicited active flexion at initiation of movement	CUI=C2031110	PREF=pain of hip elicited active flexion at initiation of movement
pain of hip elicited active flexion at initiation of movement (physical finding)	CUI=C2031110	PREF=pain of hip elicited active flexion at initiation of movement (physical finding)
pain of hip elicited by active abduction at initiation of movement	CUI=C2031101	PREF=pain of hip elicited by active abduction at initiation of movement
pain of hip elicited by active abduction at initiation of movement (physical finding)	CUI=C2031101	PREF=pain of hip elicited by active abduction at initiation of movement (physical finding)
pain of hip elicited by active adduction at initiation of movement	CUI=C2031104	PREF=pain of hip elicited by active adduction at initiation of movement
pain of hip elicited by active adduction at initiation of movement (physical finding)	CUI=C2031104	PREF=pain of hip elicited by active adduction at initiation of movement (physical finding)
pain of hip elicited by active external rotation with hip extended at initiation of movement	CUI=C2016418	PREF=pain of hip elicited by active external rotation with hip extended at initiation of movement
pain of hip elicited by active external rotation with hip extended at initiation of movement (physical finding)	CUI=C2016418	PREF=pain of hip elicited by active external rotation with hip extended at initiation of movement (physical finding)
pain of hip elicited by active external rotation with hip flexed at initiation of movement	CUI=C2016421	PREF=pain of hip elicited by active external rotation with hip flexed at initiation of movement
pain of hip elicited by active external rotation with hip flexed at initiation of movement (physical finding)	CUI=C2016421	PREF=pain of hip elicited by active external rotation with hip flexed at initiation of movement (physical finding)
pain of hip elicited by active internal rotation with hip extended at initiation of movement	CUI=C2016432	PREF=pain of hip elicited by active internal rotation with hip extended at initiation of movement
pain of hip elicited by active internal rotation with hip extended at initiation of movement (physical finding)	CUI=C2016432	PREF=pain of hip elicited by active internal rotation with hip extended at initiation of movement (physical finding)
pain of hip elicited by active internal rotation with hip flexed at initiation of movement	CUI=C2016435	PREF=pain of hip elicited by active internal rotation with hip flexed at initiation of movement
pain of hip elicited by active internal rotation with hip flexed at initiation of movement (physical finding)	CUI=C2016435	PREF=pain of hip elicited by active internal rotation with hip flexed at initiation of movement (physical finding)
pain of hip elicited by motion at initiation of movement	CUI=C2031134	PREF=pain of hip elicited by motion at initiation of movement
pain of hip elicited by motion at initiation of movement (physical finding)	CUI=C2031134	PREF=pain of hip elicited by motion at initiation of movement (physical finding)
pain of hip elicited by passive abduction at initiation of movement	CUI=C2031160	PREF=pain of hip elicited by passive abduction at initiation of movement
pain of hip elicited by passive abduction at initiation of movement (physical finding)	CUI=C2031160	PREF=pain of hip elicited by passive abduction at initiation of movement (physical finding)
pain of hip elicited by passive adduction at initiation of movement	CUI=C2031163	PREF=pain of hip elicited by passive adduction at initiation of movement
pain of hip elicited by passive adduction at initiation of movement (physical finding)	CUI=C2031163	PREF=pain of hip elicited by passive adduction at initiation of movement (physical finding)
pain of hip elicited by passive extension at initiation of movement	CUI=C2031166	PREF=pain of hip elicited by passive extension at initiation of movement
pain of hip elicited by passive extension at initiation of movement (physical finding)	CUI=C2031166	PREF=pain of hip elicited by passive extension at initiation of movement (physical finding)
pain of hip elicited by passive external rotation with hip extended at initiation of movement	CUI=C2032620	PREF=pain of hip elicited by passive external rotation with hip extended at initiation of movement
pain of hip elicited by passive external rotation with hip extended at initiation of movement (physical finding)	CUI=C2032620	PREF=pain of hip elicited by passive external rotation with hip extended at initiation of movement (physical finding)
pain of hip elicited by passive external rotation with hip flexed at initiation of movement	CUI=C2032623	PREF=pain of hip elicited by passive external rotation with hip flexed at initiation of movement
pain of hip elicited by passive external rotation with hip flexed at initiation of movement (physical finding)	CUI=C2032623	PREF=pain of hip elicited by passive external rotation with hip flexed at initiation of movement (physical finding)
pain of hip elicited by passive flexion at initiation of movement	CUI=C2031169	PREF=pain of hip elicited by passive flexion at initiation of movement
pain of hip elicited by passive flexion at initiation of movement (physical finding)	CUI=C2031169	PREF=pain of hip elicited by passive flexion at initiation of movement (physical finding)
pain of hip elicited by passive internal rotation with hip extended at initiation of movement	CUI=C2032634	PREF=pain of hip elicited by passive internal rotation with hip extended at initiation of movement
pain of hip elicited by passive internal rotation with hip extended at initiation of movement (physical finding)	CUI=C2032634	PREF=pain of hip elicited by passive internal rotation with hip extended at initiation of movement (physical finding)
pain of hip elicited by passive internal rotation with hip flexed at initiation of movement	CUI=C2032637	PREF=pain of hip elicited by passive internal rotation with hip flexed at initiation of movement
pain of hip elicited by passive internal rotation with hip flexed at initiation of movement (physical finding)	CUI=C2032637	PREF=pain of hip elicited by passive internal rotation with hip flexed at initiation of movement (physical finding)
pain of left ankle elicited by active motion at initiation of movement	CUI=C2139489	PREF=pain of left ankle elicited by active motion at initiation of movement
pain of left ankle elicited by active motion at initiation of movement (physical finding)	CUI=C2139489	PREF=pain of left ankle elicited by active motion at initiation of movement (physical finding)
pain of left ankle elicited by motion at initiation of movement	CUI=C2139505	PREF=pain of left ankle elicited by motion at initiation of movement
pain of left ankle elicited by motion at initiation of movement (physical finding)	CUI=C2139505	PREF=pain of left ankle elicited by motion at initiation of movement (physical finding)
pain of left foot elicited at initiation of movement	CUI=C2196542	PREF=pain of left foot elicited at initiation of movement
pain of left foot elicited at initiation of movement (physical finding)	CUI=C2196542	PREF=pain of left foot elicited at initiation of movement (physical finding)
pain of left knee elicited at initiation of movement	CUI=C2110456	PREF=pain of left knee elicited at initiation of movement
pain of left knee elicited at initiation of movement (physical finding)	CUI=C2110456	PREF=pain of left knee elicited at initiation of movement (physical finding)
pain of lumbosacral spine elicited at initiation of active movement	CUI=C2199983	PREF=pain of lumbosacral spine elicited at initiation of active movement
pain of lumbosacral spine elicited at initiation of active movement (physical finding)	CUI=C2199983	PREF=pain of lumbosacral spine elicited at initiation of active movement (physical finding)
pain of lumbosacral spine elicited at initiation of movement	CUI=C2199985	PREF=pain of lumbosacral spine elicited at initiation of movement
pain of lumbosacral spine elicited at initiation of movement (physical finding)	CUI=C2199985	PREF=pain of lumbosacral spine elicited at initiation of movement (physical finding)
pain of lumbosacral spine elicited at initiation of passive movement	CUI=C2199984	PREF=pain of lumbosacral spine elicited at initiation of passive movement
pain of lumbosacral spine elicited at initiation of passive movement (physical finding)	CUI=C2199984	PREF=pain of lumbosacral spine elicited at initiation of passive movement (physical finding)
pain of right ankle elicited by active motion at initiation of movement	CUI=C2177395	PREF=pain of right ankle elicited by active motion at initiation of movement
pain of right ankle elicited by active motion at initiation of movement (physical finding)	CUI=C2177395	PREF=pain of right ankle elicited by active motion at initiation of movement (physical finding)
pain of right ankle elicited by motion at initiation of movement	CUI=C2196501	PREF=pain of right ankle elicited by motion at initiation of movement
pain of right ankle elicited by motion at initiation of movement (physical finding)	CUI=C2196501	PREF=pain of right ankle elicited by motion at initiation of movement (physical finding)
pain of right foot elicited at initiation of movement	CUI=C2196541	PREF=pain of right foot elicited at initiation of movement
pain of right foot elicited at initiation of movement (physical finding)	CUI=C2196541	PREF=pain of right foot elicited at initiation of movement (physical finding)
pain of right knee elicited by motion at initiation of movement	CUI=C2110463	PREF=pain of right knee elicited by motion at initiation of movement
pain of right knee elicited by motion at initiation of movement (physical finding)	CUI=C2110463	PREF=pain of right knee elicited by motion at initiation of movement (physical finding)
pain of shoulder elicited by motion at initiation of movement	CUI=C2088488	PREF=pain of shoulder elicited by motion at initiation of movement
pain of shoulder elicited by motion at initiation of movement (physical finding)	CUI=C2088488	PREF=pain of shoulder elicited by motion at initiation of movement (physical finding)
pain of thoracolumbar spine at initiation of active movement	CUI=C2115834	PREF=pain of thoracolumbar spine at initiation of active movement
pain of thoracolumbar spine at initiation of active movement (physical finding)	CUI=C2115834	PREF=pain of thoracolumbar spine at initiation of active movement (physical finding)
pain of thoracolumbar spine at initiation of passive movement	CUI=C2115835	PREF=pain of thoracolumbar spine at initiation of passive movement
pain of thoracolumbar spine at initiation of passive movement (physical finding)	CUI=C2115835	PREF=pain of thoracolumbar spine at initiation of passive movement (physical finding)
pain of thoracolumbar spine elicited at initiation of movement	CUI=C2088491	PREF=pain of thoracolumbar spine elicited at initiation of movement
pain of thoracolumbar spine elicited at initiation of movement (physical finding)	CUI=C2088491	PREF=pain of thoracolumbar spine elicited at initiation of movement (physical finding)
pain of toe elicited at initiation of movement	CUI=C2088504	PREF=pain of toe elicited at initiation of movement
pain of toe elicited at initiation of movement (physical finding)	CUI=C2088504	PREF=pain of toe elicited at initiation of movement (physical finding)
pain of toe of left foot elicited at initiation of movement	CUI=C2144287	PREF=pain of toe of left foot elicited at initiation of movement
pain of toe of left foot elicited at initiation of movement (physical finding)	CUI=C2144287	PREF=pain of toe of left foot elicited at initiation of movement (physical finding)
pain of toe of right foot elicited at initiation of movement	CUI=C2144288	PREF=pain of toe of right foot elicited at initiation of movement
pain of toe of right foot elicited at initiation of movement (physical finding)	CUI=C2144288	PREF=pain of toe of right foot elicited at initiation of movement (physical finding)
pain of toes of both feet elicited at initiation of movement	CUI=C2144286	PREF=pain of toes of both feet elicited at initiation of movement
pain of toes of both feet elicited at initiation of movement (physical finding)	CUI=C2144286	PREF=pain of toes of both feet elicited at initiation of movement (physical finding)
Pain on abdominal wall movement (finding)	CUI=C0423655	PREF=Pain on abdominal wall movement (finding)
Pain on joint movement	CUI=C0575033	PREF=Pain on joint movement
Pain on joint movement (finding)	CUI=C0575033	PREF=Pain on joint movement (finding)
Pain on movement of cervix (finding)	CUI=C0567231	PREF=Pain on movement of cervix (finding)
Pain on movement of ovary (finding)	CUI=C0567259	PREF=Pain on movement of ovary (finding)
Pain on movement of pinna (finding)	CUI=C0576840	PREF=Pain on movement of pinna (finding)
Pain on movement of skeletal muscle	CUI=C0575069	PREF=Pain on movement of skeletal muscle
Pain on movement of skeletal muscle (finding)	CUI=C0575069	PREF=Pain on movement of skeletal muscle (finding)
Pain on movement of skin (finding)	CUI=C0574747	PREF=Pain on movement of skin (finding)
Pain on movement of uterus (finding)	CUI=C0567086	PREF=Pain on movement of uterus (finding)
pain shooting down arm triggered by neck movement	CUI=C2032688	PREF=pain shooting down arm triggered by neck movement
pain shooting down arm triggered by neck movement (symptom)	CUI=C2032688	PREF=pain shooting down arm triggered by neck movement (symptom)
pain was elicited at the initiation of movement of both feet	CUI=C2196543	PREF=pain was elicited at the initiation of movement of both feet
pain with eye movement	CUI=C0239430	PREF=pain with eye movement
pain with eye movement to left	CUI=C2032726	PREF=pain with eye movement to left
pain with eye movement to left (symptom)	CUI=C2032726	PREF=pain with eye movement to left (symptom)
pain with eye movement to right	CUI=C2032727	PREF=pain with eye movement to right
pain with eye movement to right (symptom)	CUI=C2032727	PREF=pain with eye movement to right (symptom)
Passve movement-shouldr girdle	CUI=C0556864	PREF=Passve movement-shouldr girdle
patient activity at time of event - involving dancing / rhythmic movement	CUI=C3647084	PREF=patient activity at time of event - involving dancing / rhythmic movement
patient activity at time of event - involving dancing / rhythmic movement (history)	CUI=C3647084	PREF=patient activity at time of event - involving dancing / rhythmic movement (history)
Patient has no pain or pain does not interfere with activity or movement	CUI=C3845453	PREF=Patient has no pain or pain does not interfere with activity or movement
Patient has pain that does not interfere with activity or movement	CUI=C3844520	PREF=Patient has pain that does not interfere with activity or movement
Perception of movement (function)	CUI=C0026598	PREF=Perception of movement (function)
Performs oral motor functions	CUI=C0563325	PREF=Performs oral motor functions
Performs oral motor functions	CUI=C0563325	PREF=Performs oral motor functions
PM - Passive movements	CUI=C0079991	PREF=PM - Passive movements
polysomnography: periodic leg movements	CUI=C2111852	PREF=polysomnography: periodic leg movements
polysomnography: periodic leg movements (procedure)	CUI=C2111852	PREF=polysomnography: periodic leg movements (procedure)
Poor control of movement (finding)	CUI=C0455918	PREF=Poor control of movement (finding)
Poor fine and gross motor coordination	CUI=C1855555	PREF=Poor fine and gross motor coordination
