(Swallowing symptoms) or (dysphagia)	CUI=C1542154	PREF=(Swallowing symptoms) or (dysphagia)
Swallowing status:Finding:Point in time:^Patient:Ordinal:CMS Assessment	CUI=C4482658	PREF=Swallowing status:Finding:Point in time:^Patient:Ordinal:CMS Assessment
Swallowing substances	CUI=C0562702	PREF=Swallowing substances
Swallowing substances (finding)	CUI=C0562702	PREF=Swallowing substances (finding)
Swallowing symptom	CUI=C0426601	PREF=Swallowing symptom
Swallowing symptom NOS	CUI=C0426601	PREF=Swallowing symptom NOS
Swallowing symptom NOS (finding)	CUI=C0426601	PREF=Swallowing symptom NOS (finding)
Swallowing symptoms	CUI=C0426601	PREF=Swallowing symptoms
Swallowing symptoms (finding)	CUI=C0426601	PREF=Swallowing symptoms (finding)
Swallowing therapy	CUI=C0589274	PREF=Swallowing therapy
Swallowing usual ability	CUI=C2598047	PREF=Swallowing usual ability
Swallowing usual ability [CARE]	CUI=C2598046	PREF=Swallowing usual ability [CARE]
throat pain on swallowing	CUI=C2115921	PREF=throat pain on swallowing
throat pain on swallowing (symptom)	CUI=C2115921	PREF=throat pain on swallowing (symptom)
Tongue swallowing	CUI=C0858978	PREF=Tongue swallowing
Tongue swallowing (finding)	CUI=C0858978	PREF=Tongue swallowing (finding)
Unable to initiate swallowing	CUI=C0426609	PREF=Unable to initiate swallowing
Unable to initiate swallowing (finding)	CUI=C0426609	PREF=Unable to initiate swallowing (finding)
Unable to initiate swallowing reflex	CUI=C0426609	PREF=Unable to initiate swallowing reflex
Unable to project bolus of food into pharynx	CUI=C0566345	PREF=Unable to project bolus of food into pharynx
Unable to project bolus of food into pharynx (finding)	CUI=C0566345	PREF=Unable to project bolus of food into pharynx (finding)
Unable to swallow	CUI=C4048182	PREF=Unable to swallow
Unable to swallow (finding)	CUI=C4048182	PREF=Unable to swallow (finding)
Unable to swallow fluid	CUI=C0566365	PREF=Unable to swallow fluid
Unable to swallow fluid (finding)	CUI=C0566365	PREF=Unable to swallow fluid (finding)
Unable to swallow liquid	CUI=C0566365	PREF=Unable to swallow liquid
Unable to swallow saliva	CUI=C0566376	PREF=Unable to swallow saliva
Unable to swallow saliva (finding)	CUI=C0566376	PREF=Unable to swallow saliva (finding)
Unable to swallow soft foods	CUI=C0584632	PREF=Unable to swallow soft foods
Unable to swallow soft foods (finding)	CUI=C0584632	PREF=Unable to swallow soft foods (finding)
Unable to swallow solids	CUI=C0584627	PREF=Unable to swallow solids
Unable to swallow solids (finding)	CUI=C0584627	PREF=Unable to swallow solids (finding)
Unable to swallow thickened fluid	CUI=C0566370	PREF=Unable to swallow thickened fluid
Unable to swallow thickened fluid (finding)	CUI=C0566370	PREF=Unable to swallow thickened fluid (finding)
Uncompensated swallowing impairment	CUI=C1302160	PREF=Uncompensated swallowing impairment
Uncompensated swallowing impairment (finding)	CUI=C1302160	PREF=Uncompensated swallowing impairment (finding)
Uncoordinated swallowing	CUI=C1856512	PREF=Uncoordinated swallowing
upper chest pain on swallowing	CUI=C2129181	PREF=upper chest pain on swallowing
upper chest pain on swallowing (symptom)	CUI=C2129181	PREF=upper chest pain on swallowing (symptom)
