CUI	STR
C2127604	the left ankle catches during movement
C2127540	the left elbow catches during movement
C2128004	the left fourth toe 'catches' during movement
C2128001	the left great toe 'catches' during movement
C2127633	the left hip catches during movement
C2127763	the left index finger 'catches' during movement
C2127579	the left knee catches during movement
C2127766	the left little finger 'catches' during movement
C2128005	the left little toe 'catches' during movement
C2127764	the left middle finger 'catches' during movement
C2128003	the left middle toe 'catches' during movement
C2127765	the left ring finger 'catches' during movement
C2128002	the left second toe 'catches' during movement
C2127661	the left shoulder catches during movement
C2127762	the left thumb 'catches' during movement
C2127918	the left wrist catches during movement
C2127603	the right ankle catches during movement
C2127539	the right elbow catches during movement
C2127998	the right fourth toe 'catches' during movement
C2127995	the right great toe 'catches' during movement
C2127632	the right hip catches during movement
C2127757	the right index finger 'catches' during movement
C2127578	the right knee catches during movement
C2127760	the right little finger 'catches' during movement
C2127999	the right little toe 'catches' during movement
C2127758	the right middle finger 'catches' during movement
C2127997	the right middle toe 'catches' during movement
C2127759	the right ring finger 'catches' during movement
C2127996	the right second toe 'catches' during movement
C2127660	the right shoulder catches during movement
C2127756	the right thumb 'catches' during movement
C2127917	the right wrist catches during movement
C2127659	the shoulder catches during movement
C2128006	the toes of both feet 'catch' during movement
C2127916	the wrist catches during movement
C0575354	Thoracic spine - painful on movement (finding)
C1287925	Thoracic spine - range of movement - finding
C0575281	Thoracic spine - range of movement (observable entity)
C0575905	Thumb joint - range of movement
C1288204	Thumb joint - range of movement - finding
C0575905	Thumb joint - range of movement (observable entity)
C0575966	Thumb joint painful on movement
C0575966	Thumb joint painful on movement (finding)
C0575905	Thumb joint-range of movement
C0576340	Toe joint - range of movement
C1288220	Toe joint - range of movement - finding
C0576340	Toe joint - range of movement (observable entity)
C2108897	toe joint pain with active movement
C2108898	toe joint pain with passive movement
C0576390	Toe joint painful on movement
C0576390	Toe joint painful on movement (finding)
C2088504	toe pain was elicited at the initiation of movement
C2127993	toes 'catch' during movement
C2127993	toes 'catch' during movement (symptom)
C2128006	toes of both feet 'catch' during movement (symptom)
C2128000	toes of left foot 'catch' during movement
C2128000	toes of left foot 'catch' during movement (symptom)
C2127994	toes of right foot 'catch' during movement
C2127994	toes of right foot 'catch' during movement (symptom)
C2127687	upper back pain along inner edge of right scapula unchanged with movement
C2127687	upper back pain along inner edge of right scapula unchanged with movement (symptom)
C2127686	upper back pain along inner edge of right scapula worse with movement
C2127686	upper back pain along inner edge of right scapula worse with movement (symptom)
C2129446	upper back pain in midline improves with movement
C2129446	upper back pain in midline improves with movement (symptom)
C2129445	upper back pain in midline unchanged with movement
C2129445	upper back pain in midline unchanged with movement (symptom)
C2129444	upper back pain in midline worse with movement
C2129444	upper back pain in midline worse with movement (symptom)
C4229270	Upper motor neuron involvement
C0749870	Upper motor neuron signs
C0575026	Weakness of joint movement
C0575026	Weakness of joint movement (finding)
C2127916	wrist catches during movement
C2127916	wrist catches during movement (symptom)
C0575717	Wrist joint - range of movement
C1288039	Wrist joint - range of movement - finding
C0575717	Wrist joint - range of movement (observable entity)
C0575788	Wrist joint painful movement
C0575788	Wrist joint painful on movement
C0575788	Wrist joint painful on movement (finding)
C0575717	Wrist joint-range of movement
C2088476	wrist pain was elicited at the initiation of movement
C2126204	wrist pain with active movement
